w1 w2 w3 y1 y2 y3 y4 z1 z2 z3 z4 z5
0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 1 0 0 0 1 0
0 0 0 0 0 0 1 0 0 1 0 0
0 0 0 0 0 0 1 0 0 1 0 0
0 0 0 0 0 0 1 0 0 1 1 0
0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 0 1
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 0 0 1 1 0
0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 0 1 0 0 1 0 0 1
0 0 0 0 0 1 0 0 1 0 0 1
0 0 0 0 0 1 0 0 1 0 0 1
0 0 0 0 0 1 0 0 1 1 1 0
0 0 0 0 0 1 0 0 1 1 1 0
0 0 0 0 0 1 0 0 1 1 1 0
0 0 0 0 0 1 0 0 1 1 1 1
0 0 0 0 0 1 0 0 1 1 1 1
0 0 0 0 0 1 0 0 1 1 1 1
0 0 0 0 0 1 0 0 1 1 1 1
0 0 0 0 0 1 0 0 1 1 1 1
0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 1 1
0 0 0 0 1 0 0 0 0 0 1 1
0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 0 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 0
0 0 0 0 1 0 0 0 0 1 1 1
0 0 0 0 1 0 0 0 0 1 1 1
0 0 0 0 1 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 1 0 0 1
